id,date,invoice_number,state,customer_company_id,id,name,city,country,finance_number,sales_order_id
2409,2019-01-07,14110-RR,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2410,2019-01-07,14157-RR,complete,44,44,Anas Al-Shaar,Riyadh-11671,SA,,
2411,2019-01-07,13899-RR,deleted,21,21,JERRY CARDS,SICHUAN PROVINCE,CN,,
2412,2019-01-07,14013-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2413,2019-01-07,13899-RR,complete,21,21,JERRY CARDS,SICHUAN PROVINCE,CN,,
2414,2019-01-07,T.O # 404,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2415,2019-01-08,14319,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2416,2019-01-08,14321,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2417,2019-01-08,14322,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2418,2019-01-07,14291,complete,100,100,GAME PLATFORMA s.r.o,SVIDNÍK,SK,,
2419,2019-01-08,14312,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2420,2019-01-08,14326,complete,21,21,JERRY CARDS,SICHUAN PROVINCE,CN,,
2421,2019-01-08,14328,complete,16,16,PayThem.Net WLL,Doha,QA,,
2422,2019-01-08,14305,complete,73,73,"IGROSHOP, LLC",Oberlin,US,,
2423,2019-01-08,14311,complete,40,40,Nguyen & Phan LLC DBA BUY FROM POWER SELLER,Lorton,US,,
2424,2019-01-08,14333,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2425,2019-01-08,14336,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2426,2019-01-08,14332,complete,14,14,IBANEZBLACK,Lombok Barat,ID,,
2427,2019-01-08,14327,complete,12,12,VERVE MULTIMEDIA INC,Pasay City,PH,,
2428,2019-01-08,14324,complete,64,64,Florida State Games,Coconut Creek,US,,
2429,2019-01-08,14084,complete,122,122,NYC GAMES ELECTRONICS LLC,,,,
2430,2019-01-08,14339,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2431,2019-01-08,14340,complete,105,105,Manvico Store,Trusillo,PE,,
2432,2019-01-08,14065-RR,complete,23,23,ABAAD ALJEEL DBA LIKE4CARD,Rihadh,SA,,
2433,2019-01-08,14289,complete,15,15,MMOGA LIMITED,Kowloon,HK,,
2434,2019-01-09,14329,complete,8,8,"Gamersmarket CO., LTD",Causeway Bay,HK,,
2435,2019-01-09,14343,complete,75,75,Leo Partners DBA Odessa Seagull,Nicosia,CY,,
2436,2019-01-09,14337,complete,96,96,"US-1 America, Inc.",MIAMI,US,,
