sales_order_id,date,id,created_at,quantity,sku,name,name_i,face_price,currency,country,state_i,state_o,status,external_unit_price,name_o,city,country_o,year,month,day,weekday,price,total,net_price,net_income,percent_margin
18354,2023-01-03 00:00:00,109677,2023-01-03 10:34:22,20,NES10,Nintendo eShop $10 (USA),NINTENDO ESHOP,10.0,USD,US,fulfilled,complete,0,"{""amount"": 905, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,9.05,181.0,0.9499999999999993,19.0,9.5
18354,2023-01-03 00:00:00,109678,2023-01-03 10:34:22,10,NES20,Nintendo eShop $20 (USA),NINTENDO ESHOP,20.0,USD,US,fulfilled,complete,0,"{""amount"": 1805, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,18.05,180.5,1.9499999999999993,19.5,9.75
18354,2023-01-03 00:00:00,109679,2023-01-03 10:34:22,10,NES35,Nintendo eShop $35 (USA),NINTENDO ESHOP,35.0,USD,US,fulfilled,complete,0,"{""amount"": 3130, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,31.3,313.0,3.6999999999999993,37.0,10.57
18354,2023-01-03 00:00:00,109680,2023-01-03 10:34:22,25,NES50,Nintendo eShop $50 (USA),NINTENDO ESHOP,50.0,USD,US,fulfilled,complete,0,"{""amount"": 4450, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,44.5,1112.5,5.5,137.5,11.0
18354,2023-01-03 00:00:00,109681,2023-01-03 10:34:22,5,NES12M,Nintendo 12 Month Subscription (USA),NINTENDO ESHOP,19.99,USD,US,fulfilled,complete,0,"{""amount"": 1845, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,18.45,92.25,1.5399999999999991,7.7,7.7
18354,2023-01-03 00:00:00,109682,2023-01-03 10:34:22,20,IT10,Apple Gift Card $10 (USA),APPLE,10.0,USD,US,fulfilled,complete,0,"{""amount"": 970, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,9.7,194.0,0.3000000000000007,6.0,3.0
18354,2023-01-03 00:00:00,109683,2023-01-03 10:34:22,20,IT15,Apple Gift Card $15 (USA),APPLE,15.0,USD,US,fulfilled,complete,0,"{""amount"": 1455, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,14.55,291.0,0.4499999999999993,9.0,3.0
18354,2023-01-03 00:00:00,109684,2023-01-03 10:34:23,25,IT25,Apple Gift Card $25 (USA),APPLE,25.0,USD,US,fulfilled,complete,0,"{""amount"": 2425, ""currency"": ""USD""}",PSNTHAILAND,Bangbon,TH,2023,1,3,Tuesday,24.25,606.25,0.75,18.75,3.0
18355,2023-01-03 00:00:00,109685,2023-01-03 10:36:34,2,IMVU10,IMVU $10 (USA),IMVU,10.0,USD,US,fulfilled,complete,0,"{""amount"": 900, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,9.0,18.0,1.0,2.0,10.0
18355,2023-01-03 00:00:00,109686,2023-01-03 10:36:34,30,PAR25,Paramount+ $25 (USA),CBS,25.0,USD,US,fulfilled,complete,0,"{""amount"": 2300, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,23.0,690.0,2.0,60.0,8.0
18355,2023-01-03 00:00:00,109687,2023-01-03 10:36:34,10,PAR50,Paramount+ $50 (USA),CBS,50.0,USD,US,fulfilled,complete,0,"{""amount"": 4600, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,46.0,460.0,4.0,40.0,8.0
18355,2023-01-03 00:00:00,109688,2023-01-03 10:36:34,5,PSP1Y,PlayStation Plus 1 Year Membership,SONY,59.99,USD,BR,fulfilled,complete,0,"{""amount"": 4650, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,46.5,232.5,13.490000000000002,67.45,22.49
18355,2023-01-03 00:00:00,109689,2023-01-03 10:36:34,5,PSP3M,PlayStation Plus 3 Month Membership,SONY,24.99,USD,BR,fulfilled,complete,0,"{""amount"": 2000, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,20.0,100.0,4.989999999999998,24.95,19.97
18355,2023-01-03 00:00:00,109690,2023-01-03 10:36:34,5,STV100,Sling TV $100 (USA),SLING TV,100.0,USD,US,fulfilled,complete,0,"{""amount"": 9260, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,92.6,463.0,7.400000000000006,37.0,7.4
18355,2023-01-03 00:00:00,109691,2023-01-03 10:36:34,5,STV50,Sling TV $50 (USA),SLING TV,50.0,USD,US,fulfilled,complete,0,"{""amount"": 4650, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,46.5,232.5,3.5,17.5,7.0
18355,2023-01-03 00:00:00,109692,2023-01-03 10:36:34,5,STV25,Sling TV $25 (USA),SLING TV,25.0,USD,US,fulfilled,complete,0,"{""amount"": 2330, ""currency"": ""USD""}",MyGiftCardSupply,Boulder,US,2023,1,3,Tuesday,23.3,116.5,1.6999999999999993,8.5,6.8
18356,2023-01-03 00:00:00,109693,2023-01-03 10:51:35,20,IT10,Apple Gift Card $10 (USA),APPLE,10.0,USD,US,fulfilled,complete,0,"{""amount"": 980, ""currency"": ""USD""}",iGiftcard4u.com,Thanyaburee,TH,2023,1,3,Tuesday,9.8,196.0,0.1999999999999993,4.0,2.0
18356,2023-01-03 00:00:00,109694,2023-01-03 10:51:35,30,IT100,Apple Gift Card $100 (USA),APPLE,100.0,USD,US,fulfilled,complete,0,"{""amount"": 9795, ""currency"": ""USD""}",iGiftcard4u.com,Thanyaburee,TH,2023,1,3,Tuesday,97.95,2938.5,2.049999999999997,61.5,2.05
18357,2023-01-03 00:00:00,109695,2023-01-03 10:53:28,1000,PSN10,PlayStation Network Card $10 (USA),SONY,10.0,USD,US,fulfilled,complete,0,"{""amount"": 893, ""currency"": ""USD""}",BASATNE INTERNATIONAL LLC,Addison,US,2023,1,3,Tuesday,8.93,8930.0,1.0700000000000003,1070.0,10.7
18357,2023-01-03 00:00:00,109696,2023-01-03 10:53:28,1000,PSN25,PlayStation Network Card $25 (USA),SONY,25.0,USD,US,fulfilled,complete,0,"{""amount"": 2231, ""currency"": ""USD""}",BASATNE INTERNATIONAL LLC,Addison,US,2023,1,3,Tuesday,22.31,22310.0,2.6900000000000013,2690.0,10.76
